😀,b'\\U0001F600',grinning face face grin
👩‍💼,b'\\U0001F469\\U0000200D\\U0001F4BC',woman office worker architect business manager office white-collar woman
👩🏻‍💼,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F4BC',woman office worker: light skin tone architect business light skin tone manager office white-collar woman
👩🏼‍💼,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F4BC',woman office worker: medium-light skin tone architect business manager medium-light skin tone office white-collar woman
👩🏽‍💼,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F4BC',woman office worker: medium skin tone architect business manager medium skin tone office white-collar woman
👩🏾‍💼,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F4BC',woman office worker: medium-dark skin tone architect business manager medium-dark skin tone office white-collar woman
👩🏿‍💼,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F4BC',woman office worker: dark skin tone architect business dark skin tone manager office white-collar woman
👨‍🔬,b'\\U0001F468\\U0000200D\\U0001F52C',man scientist biologist chemist engineer man mathematician physicist scientist
👨🏻‍🔬,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F52C',man scientist: light skin tone biologist chemist engineer light skin tone man mathematician physicist scientist
👨🏼‍🔬,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F52C',man scientist: medium-light skin tone biologist chemist engineer man mathematician medium-light skin tone physicist scientist
👨🏽‍🔬,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F52C',man scientist: medium skin tone biologist chemist engineer man mathematician medium skin tone physicist scientist
👨🏾‍🔬,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F52C',man scientist: medium-dark skin tone biologist chemist engineer man mathematician medium-dark skin tone physicist scientist
👨🏿‍🔬,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F52C',man scientist: dark skin tone biologist chemist dark skin tone engineer man mathematician physicist scientist
👩‍🔬,b'\\U0001F469\\U0000200D\\U0001F52C',woman scientist biologist chemist engineer mathematician physicist scientist woman
👩🏻‍🔬,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F52C',woman scientist: light skin tone biologist chemist engineer light skin tone mathematician physicist scientist woman
👩🏼‍🔬,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F52C',woman scientist: medium-light skin tone biologist chemist engineer mathematician medium-light skin tone physicist scientist woman
👩🏽‍🔬,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F52C',woman scientist: medium skin tone biologist chemist engineer mathematician medium skin tone physicist scientist woman
👩🏾‍🔬,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F52C',woman scientist: medium-dark skin tone biologist chemist engineer mathematician medium-dark skin tone physicist scientist woman
👩🏿‍🔬,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F52C',woman scientist: dark skin tone biologist chemist dark skin tone engineer mathematician physicist scientist woman
👨‍💻,b'\\U0001F468\\U0000200D\\U0001F4BB',man technologist coder developer inventor man software technologist
