😀,b'\\U0001F600',grinning face face grin
🖖🏿,b'\\U0001F596\\U0001F3FF',vulcan salute: dark skin tone dark skin tone finger hand spock vulcan
🤘,b'\\U0001F918',sign of the horns finger hand horns rock-on
🤘🏻,b'\\U0001F918\\U0001F3FB',sign of the horns: light skin tone finger hand horns light skin tone rock-on
🤘🏼,b'\\U0001F918\\U0001F3FC',sign of the horns: medium-light skin tone finger hand horns medium-light skin tone rock-on
🤘🏽,b'\\U0001F918\\U0001F3FD',sign of the horns: medium skin tone finger hand horns medium skin tone rock-on
🤘🏾,b'\\U0001F918\\U0001F3FE',sign of the horns: medium-dark skin tone finger hand horns medium-dark skin tone rock-on
🤘🏿,b'\\U0001F918\\U0001F3FF',sign of the horns: dark skin tone dark skin tone finger hand horns rock-on
🤙,b'\\U0001F919',call me hand call hand
🤙🏻,b'\\U0001F919\\U0001F3FB',call me hand: light skin tone call hand light skin tone
🤙🏼,b'\\U0001F919\\U0001F3FC',call me hand: medium-light skin tone call hand medium-light skin tone
🤙🏽,b'\\U0001F919\\U0001F3FD',call me hand: medium skin tone call hand medium skin tone
🤙🏾,b'\\U0001F919\\U0001F3FE',call me hand: medium-dark skin tone call hand medium-dark skin tone
🤙🏿,b'\\U0001F919\\U0001F3FF',call me hand: dark skin tone call dark skin tone hand
🖐,b'\\U0001F590',raised hand with fingers splayed finger hand splayed
🖐🏻,b'\\U0001F590\\U0001F3FB',raised hand with fingers splayed: light skin tone finger hand light skin tone splayed
🖐🏼,b'\\U0001F590\\U0001F3FC',raised hand with fingers splayed: medium-light skin tone finger hand medium-light skin tone splayed
🖐🏽,b'\\U0001F590\\U0001F3FD',raised hand with fingers splayed: medium skin tone finger hand medium skin tone splayed
🖐🏾,b'\\U0001F590\\U0001F3FE',raised hand with fingers splayed: medium-dark skin tone finger hand medium-dark skin tone splayed
🖐🏿,b'\\U0001F590\\U0001F3FF',raised hand with fingers splayed: dark skin tone dark skin tone finger hand splayed
✋,b'\\U0000270B',raised hand hand
✋🏻,b'\\U0000270B\\U0001F3FB',raised hand: light skin tone hand light skin tone
✋🏼,b'\\U0000270B\\U0001F3FC',raised hand: medium-light skin tone hand medium-light skin tone
✋🏽,b'\\U0000270B\\U0001F3FD',raised hand: medium skin tone hand medium skin tone
✋🏾,b'\\U0000270B\\U0001F3FE',raised hand: medium-dark skin tone hand medium-dark skin tone
✋🏿,b'\\U0000270B\\U0001F3FF',raised hand: dark skin tone dark skin tone hand
👌,b'\\U0001F44C',OK hand hand OK
👌🏻,b'\\U0001F44C\\U0001F3FB',OK hand: light skin tone hand light skin tone OK
👌🏼,b'\\U0001F44C\\U0001F3FC',OK hand: medium-light skin tone hand medium-light skin tone OK
👌🏽,b'\\U0001F44C\\U0001F3FD',OK hand: medium skin tone hand medium skin tone OK
👌🏾,b'\\U0001F44C\\U0001F3FE',OK hand: medium-dark skin tone hand medium-dark skin tone OK
👌🏿,b'\\U0001F44C\\U0001F3FF',OK hand: dark skin tone dark skin tone hand OK
👍,b'\\U0001F44D',thumbs up +1 hand thumb up
👍🏻,b'\\U0001F44D\\U0001F3FB',thumbs up: light skin tone +1 hand light skin tone thumb up
👍🏼,b'\\U0001F44D\\U0001F3FC',thumbs up: medium-light skin tone +1 hand medium-light skin tone thumb up
👍🏽,b'\\U0001F44D\\U0001F3FD',thumbs up: medium skin tone +1 hand medium skin tone thumb up
👍🏾,b'\\U0001F44D\\U0001F3FE',thumbs up: medium-dark skin tone +1 hand medium-dark skin tone thumb up
👍🏿,b'\\U0001F44D\\U0001F3FF',thumbs up: dark skin tone +1 dark skin tone hand thumb up
👎,b'\\U0001F44E',thumbs down -1 down hand thumb
👎🏻,b'\\U0001F44E\\U0001F3FB',thumbs down: light skin tone -1 down hand light skin tone thumb
👎🏼,b'\\U0001F44E\\U0001F3FC',thumbs down: medium-light skin tone -1 down hand medium-light skin tone thumb
👎🏽,b'\\U0001F44E\\U0001F3FD',thumbs down: medium skin tone -1 down hand medium skin tone thumb
👎🏾,b'\\U0001F44E\\U0001F3FE',thumbs down: medium-dark skin tone -1 down hand medium-dark skin tone thumb
👎🏿,b'\\U0001F44E\\U0001F3FF',thumbs down: dark skin tone -1 dark skin tone down hand thumb
✊,b'\\U0000270A',raised fist clenched fist hand punch
✊🏻,b'\\U0000270A\\U0001F3FB',raised fist: light skin tone clenched fist hand light skin tone punch
✊🏼,b'\\U0000270A\\U0001F3FC',raised fist: medium-light skin tone clenched fist hand medium-light skin tone punch
✊🏽,b'\\U0000270A\\U0001F3FD',raised fist: medium skin tone clenched fist hand medium skin tone punch
✊🏾,b'\\U0000270A\\U0001F3FE',raised fist: medium-dark skin tone clenched fist hand medium-dark skin tone punch
✊🏿,b'\\U0000270A\\U0001F3FF',raised fist: dark skin tone clenched dark skin tone fist hand punch
👊,b'\\U0001F44A',oncoming fist clenched fist hand punch
👊🏻,b'\\U0001F44A\\U0001F3FB',oncoming fist: light skin tone clenched fist hand light skin tone punch
👊🏼,b'\\U0001F44A\\U0001F3FC',oncoming fist: medium-light skin tone clenched fist hand medium-light skin tone punch
👊🏽,b'\\U0001F44A\\U0001F3FD',oncoming fist: medium skin tone clenched fist hand medium skin tone punch
👊🏾,b'\\U0001F44A\\U0001F3FE',oncoming fist: medium-dark skin tone clenched fist hand medium-dark skin tone punch
👊🏿,b'\\U0001F44A\\U0001F3FF',oncoming fist: dark skin tone clenched dark skin tone fist hand punch
🤛,b'\\U0001F91B',left-facing fist fist leftwards
🤛🏻,b'\\U0001F91B\\U0001F3FB',left-facing fist: light skin tone fist leftwards light skin tone
🤛🏼,b'\\U0001F91B\\U0001F3FC',left-facing fist: medium-light skin tone fist leftwards medium-light skin tone
🤛🏽,b'\\U0001F91B\\U0001F3FD',left-facing fist: medium skin tone fist leftwards medium skin tone
🤛🏾,b'\\U0001F91B\\U0001F3FE',left-facing fist: medium-dark skin tone fist leftwards medium-dark skin tone
🤛🏿,b'\\U0001F91B\\U0001F3FF',left-facing fist: dark skin tone dark skin tone fist leftwards
🤜,b'\\U0001F91C',right-facing fist fist rightwards
🤜🏻,b'\\U0001F91C\\U0001F3FB',right-facing fist: light skin tone fist light skin tone rightwards
🤜🏼,b'\\U0001F91C\\U0001F3FC',right-facing fist: medium-light skin tone fist medium-light skin tone rightwards
🤜🏽,b'\\U0001F91C\\U0001F3FD',right-facing fist: medium skin tone fist medium skin tone rightwards
🤜🏾,b'\\U0001F91C\\U0001F3FE',right-facing fist: medium-dark skin tone fist medium-dark skin tone rightwards
🤜🏿,b'\\U0001F91C\\U0001F3FF',right-facing fist: dark skin tone dark skin tone fist rightwards
🤚,b'\\U0001F91A',raised back of hand backhand raised
🤚🏻,b'\\U0001F91A\\U0001F3FB',raised back of hand: light skin tone backhand light skin tone raised
🤚🏼,b'\\U0001F91A\\U0001F3FC',raised back of hand: medium-light skin tone backhand medium-light skin tone raised
🤚🏽,b'\\U0001F91A\\U0001F3FD',raised back of hand: medium skin tone backhand medium skin tone raised
🤚🏾,b'\\U0001F91A\\U0001F3FE',raised back of hand: medium-dark skin tone backhand medium-dark skin tone raised
🤚🏿,b'\\U0001F91A\\U0001F3FF',raised back of hand: dark skin tone backhand dark skin tone raised
👋,b'\\U0001F44B',waving hand hand wave waving
👋🏻,b'\\U0001F44B\\U0001F3FB',waving hand: light skin tone hand light skin tone wave waving
👋🏼,b'\\U0001F44B\\U0001F3FC',waving hand: medium-light skin tone hand medium-light skin tone wave waving
👋🏽,b'\\U0001F44B\\U0001F3FD',waving hand: medium skin tone hand medium skin tone wave waving
👋🏾,b'\\U0001F44B\\U0001F3FE',waving hand: medium-dark skin tone hand medium-dark skin tone wave waving
👋🏿,b'\\U0001F44B\\U0001F3FF',waving hand: dark skin tone dark skin tone hand wave waving
👏,b'\\U0001F44F',clapping hands clap hand
👏🏻,b'\\U0001F44F\\U0001F3FB',clapping hands: light skin tone clap hand light skin tone
👏🏼,b'\\U0001F44F\\U0001F3FC',clapping hands: medium-light skin tone clap hand medium-light skin tone
👏🏽,b'\\U0001F44F\\U0001F3FD',clapping hands: medium skin tone clap hand medium skin tone
👏🏾,b'\\U0001F44F\\U0001F3FE',clapping hands: medium-dark skin tone clap hand medium-dark skin tone
👏🏿,b'\\U0001F44F\\U0001F3FF',clapping hands: dark skin tone clap dark skin tone hand
✍,b'\\U0000270D',writing hand hand write
✍🏻,b'\\U0000270D\\U0001F3FB',writing hand: light skin tone hand light skin tone write
✍🏼,b'\\U0000270D\\U0001F3FC',writing hand: medium-light skin tone hand medium-light skin tone write
✍🏽,b'\\U0000270D\\U0001F3FD',writing hand: medium skin tone hand medium skin tone write
✍🏾,b'\\U0000270D\\U0001F3FE',writing hand: medium-dark skin tone hand medium-dark skin tone write
✍🏿,b'\\U0000270D\\U0001F3FF',writing hand: dark skin tone dark skin tone hand write
👐,b'\\U0001F450',open hands hand open
👐🏻,b'\\U0001F450\\U0001F3FB',open hands: light skin tone hand light skin tone open
👐🏼,b'\\U0001F450\\U0001F3FC',open hands: medium-light skin tone hand medium-light skin tone open
👐🏽,b'\\U0001F450\\U0001F3FD',open hands: medium skin tone hand medium skin tone open
👐🏾,b'\\U0001F450\\U0001F3FE',open hands: medium-dark skin tone hand medium-dark skin tone open
👐🏿,b'\\U0001F450\\U0001F3FF',open hands: dark skin tone dark skin tone hand open
🙌,b'\\U0001F64C',raising hands celebration gesture hand hooray raised
🙌🏻,b'\\U0001F64C\\U0001F3FB',raising hands: light skin tone celebration gesture hand hooray light skin tone raised
🙌🏼,b'\\U0001F64C\\U0001F3FC',raising hands: medium-light skin tone celebration gesture hand hooray medium-light skin tone raised
🙌🏽,b'\\U0001F64C\\U0001F3FD',raising hands: medium skin tone celebration gesture hand hooray medium skin tone raised
🙌🏾,b'\\U0001F64C\\U0001F3FE',raising hands: medium-dark skin tone celebration gesture hand hooray medium-dark skin tone raised
🙌🏿,b'\\U0001F64C\\U0001F3FF',raising hands: dark skin tone celebration dark skin tone gesture hand hooray raised
🙏,b'\\U0001F64F',folded hands ask bow folded gesture hand please pray thanks
🙏🏻,b'\\U0001F64F\\U0001F3FB',folded hands: light skin tone ask bow folded gesture hand light skin tone please pray thanks
🙏🏼,b'\\U0001F64F\\U0001F3FC',folded hands: medium-light skin tone ask bow folded gesture hand medium-light skin tone please pray thanks
🙏🏽,b'\\U0001F64F\\U0001F3FD',folded hands: medium skin tone ask bow folded gesture hand medium skin tone please pray thanks
🙏🏾,b'\\U0001F64F\\U0001F3FE',folded hands: medium-dark skin tone ask bow folded gesture hand medium-dark skin tone please pray thanks
🙏🏿,b'\\U0001F64F\\U0001F3FF',folded hands: dark skin tone ask bow dark skin tone folded gesture hand please pray thanks
🤝,b'\\U0001F91D',handshake agreement hand handshake meeting shake
💅,b'\\U0001F485',nail polish care cosmetics manicure nail polish
💅🏻,b'\\U0001F485\\U0001F3FB',nail polish: light skin tone care cosmetics light skin tone manicure nail polish
💅🏼,b'\\U0001F485\\U0001F3FC',nail polish: medium-light skin tone care cosmetics manicure medium-light skin tone nail polish
💅🏽,b'\\U0001F485\\U0001F3FD',nail polish: medium skin tone care cosmetics manicure medium skin tone nail polish
💅🏾,b'\\U0001F485\\U0001F3FE',nail polish: medium-dark skin tone care cosmetics manicure medium-dark skin tone nail polish
💅🏿,b'\\U0001F485\\U0001F3FF',nail polish: dark skin tone care cosmetics dark skin tone manicure nail polish
👂,b'\\U0001F442',ear body
👂🏻,b'\\U0001F442\\U0001F3FB',ear: light skin tone body light skin tone
👂🏼,b'\\U0001F442\\U0001F3FC',ear: medium-light skin tone body medium-light skin tone
👂🏽,b'\\U0001F442\\U0001F3FD',ear: medium skin tone body medium skin tone
👂🏾,b'\\U0001F442\\U0001F3FE',ear: medium-dark skin tone body medium-dark skin tone
👂🏿,b'\\U0001F442\\U0001F3FF',ear: dark skin tone body dark skin tone
👃,b'\\U0001F443',nose body
👃🏻,b'\\U0001F443\\U0001F3FB',nose: light skin tone body light skin tone
👃🏼,b'\\U0001F443\\U0001F3FC',nose: medium-light skin tone body medium-light skin tone
👃🏽,b'\\U0001F443\\U0001F3FD',nose: medium skin tone body medium skin tone
👃🏾,b'\\U0001F443\\U0001F3FE',nose: medium-dark skin tone body medium-dark skin tone
👃🏿,b'\\U0001F443\\U0001F3FF',nose: dark skin tone body dark skin tone
👣,b'\\U0001F463',footprints clothing footprint print
👀,b'\\U0001F440',eyes eye face
👁,b'\\U0001F441',eye body
👁️‍🗨️,b'\\U0001F441\\U0000FE0F\\U0000200D\\U0001F5E8\\U0000FE0F',eye in speech bubble eye speech bubble witness
👅,b'\\U0001F445',tongue body
👄,b'\\U0001F444',mouth lips
💋,b'\\U0001F48B',kiss mark kiss lips
💘,b'\\U0001F498',heart with arrow arrow cupid
❤,b'\\U00002764',red heart heart
💓,b'\\U0001F493',beating heart beating heartbeat pulsating
💔,b'\\U0001F494',broken heart break broken
💕,b'\\U0001F495',two hearts love
💖,b'\\U0001F496',sparkling heart excited sparkle
💗,b'\\U0001F497',growing heart excited growing nervous pulse
💙,b'\\U0001F499',blue heart blue
💚,b'\\U0001F49A',green heart green
💛,b'\\U0001F49B',yellow heart yellow
💜,b'\\U0001F49C',purple heart purple
🖤,b'\\U0001F5A4',black heart black evil wicked
💝,b'\\U0001F49D',heart with ribbon ribbon valentine
💞,b'\\U0001F49E',revolving hearts revolving
💟,b'\\U0001F49F',heart decoration heart
❣,b'\\U00002763',heavy heart exclamation exclamation mark punctuation
💌,b'\\U0001F48C',love letter heart letter love mail
💤,b'\\U0001F4A4',zzz comic sleep
💢,b'\\U0001F4A2',anger symbol angry comic mad
💣,b'\\U0001F4A3',bomb comic
💥,b'\\U0001F4A5',collision boom comic
💦,b'\\U0001F4A6',sweat droplets comic splashing sweat
💨,b'\\U0001F4A8',dashing away comic dash running
💫,b'\\U0001F4AB',dizzy comic star
💬,b'\\U0001F4AC',speech balloon balloon bubble comic dialog speech
🗨,b'\\U0001F5E8',left speech bubble dialog speech
🗯,b'\\U0001F5EF',right anger bubble angry balloon bubble mad
💭,b'\\U0001F4AD',thought balloon balloon bubble comic thought
🕳,b'\\U0001F573',hole hole
👓,b'\\U0001F453',glasses clothing eye eyeglasses eyewear
🕶,b'\\U0001F576',sunglasses dark eye eyewear glasses
👔,b'\\U0001F454',necktie clothing
👕,b'\\U0001F455',t-shirt clothing shirt tshirt
👖,b'\\U0001F456',jeans clothing pants trousers
👗,b'\\U0001F457',dress clothing
👘,b'\\U0001F458',kimono clothing
👙,b'\\U0001F459',bikini clothing swim
👚,b'\\U0001F45A',woman’s clothes clothing woman
👛,b'\\U0001F45B',purse clothing coin
👜,b'\\U0001F45C',handbag bag clothing purse
👝,b'\\U0001F45D',clutch bag bag clothing pouch
🛍,b'\\U0001F6CD',shopping bags bag hotel shopping
🎒,b'\\U0001F392',school backpack bag satchel school
👞,b'\\U0001F45E',man’s shoe clothing man shoe
👟,b'\\U0001F45F',running shoe athletic clothing shoe sneaker
👠,b'\\U0001F460',high-heeled shoe clothing heel shoe woman
👡,b'\\U0001F461',woman’s sandal clothing sandal shoe woman
👢,b'\\U0001F462',woman’s boot boot clothing shoe woman
👑,b'\\U0001F451',crown clothing king queen
👒,b'\\U0001F452',woman’s hat clothing hat woman
🎩,b'\\U0001F3A9',top hat clothing hat top tophat
🎓,b'\\U0001F393',graduation cap cap celebration clothing graduation hat
⛑,b'\\U000026D1',rescue worker’s helmet aid cross face hat helmet
📿,b'\\U0001F4FF',prayer beads beads clothing necklace prayer religion
💄,b'\\U0001F484',lipstick cosmetics makeup
💍,b'\\U0001F48D',ring diamond
💎,b'\\U0001F48E',gem stone diamond gem jewel
🐵,b'\\U0001F435',monkey face face monkey
🐒,b'\\U0001F412',monkey monkey
🦍,b'\\U0001F98D',gorilla gorilla
🐶,b'\\U0001F436',dog face dog face pet
🐕,b'\\U0001F415',dog pet
🐩,b'\\U0001F429',poodle dog
🐺,b'\\U0001F43A',wolf face face wolf
🦊,b'\\U0001F98A',fox face face fox
🐱,b'\\U0001F431',cat face cat face pet
🐈,b'\\U0001F408',cat pet
🦁,b'\\U0001F981',lion face face Leo lion zodiac
🐯,b'\\U0001F42F',tiger face face tiger
🐅,b'\\U0001F405',tiger tiger
🐆,b'\\U0001F406',leopard leopard
🐴,b'\\U0001F434',horse face face horse
🐎,b'\\U0001F40E',horse equestrian racehorse racing
🦌,b'\\U0001F98C',deer deer
🦄,b'\\U0001F984',unicorn face face unicorn
🐮,b'\\U0001F42E',cow face cow face
🐂,b'\\U0001F402',ox bull Taurus zodiac
🐃,b'\\U0001F403',water buffalo buffalo water
🐄,b'\\U0001F404',cow cow
🐷,b'\\U0001F437',pig face face pig
🐖,b'\\U0001F416',pig sow
🐗,b'\\U0001F417',boar pig
🐽,b'\\U0001F43D',pig nose face nose pig
🐏,b'\\U0001F40F',ram Aries sheep zodiac
🐑,b'\\U0001F411',sheep ewe
🐐,b'\\U0001F410',goat Capricorn zodiac
🐪,b'\\U0001F42A',camel dromedary hump
🐫,b'\\U0001F42B',two-hump camel bactrian camel hump
🐘,b'\\U0001F418',elephant elephant
🦏,b'\\U0001F98F',rhinoceros rhinoceros
🐭,b'\\U0001F42D',mouse face face mouse
🐁,b'\\U0001F401',mouse mouse
🐀,b'\\U0001F400',rat rat
🐹,b'\\U0001F439',hamster face face hamster pet
🐰,b'\\U0001F430',rabbit face bunny face pet rabbit
🐇,b'\\U0001F407',rabbit bunny pet
🐿,b'\\U0001F43F',chipmunk chipmunk
🦇,b'\\U0001F987',bat bat vampire
🐻,b'\\U0001F43B',bear face bear face
🐨,b'\\U0001F428',koala bear
🐼,b'\\U0001F43C',panda face face panda
🐾,b'\\U0001F43E',paw prints feet paw print
🦃,b'\\U0001F983',turkey turkey
